name,score,grade,comment
雙重終結者,33,SSS,
疊加(RP),26,SS,
刻苦訓練,24.5,S+,
客場戰神,22,S+,
氣勢,22.1,S+,
專精(RP),21.5,S,
勝利的喊聲(CP),21.5,S,
守護神(CP),21,S,
挑戰精神,20,S,
王牌,20,S,
排名競爭,19.9,A,
精準控球,19,A,
主場優勢,18.5,A,
近擊區,18.5,A,
專注,16.5,A,
最佳球員,16.5,A,
超速節奏(RP),16,A,
決勝球,15,A,
王牌戰段,15,A,
必勝組(SUCP),15.6,A,
勝利的喊聲(SULRP),14.5,B,
常勝軍,14.5,B,
挑戰者,14,B,
一人投手(CPRP),13.8,B,
英雄,12.25,B,
藝術家,12,B,
平常心,11.5,B,
新秀(LRP),11.6,B,
一人投手(LRP),10.7,B,
打斷氣勢(CPRP),12.6,B,
獨一無二,12,B,
火熱之手,11.1,B,
好的開始,10,B,
打線支援,10,C,
必勝組(LRP),8.25,C,
無法觸及,8,C,
聯賽強者,7.3,C,
勝利的喊聲(敗處),7.5,C,
關鍵投手,7.5,C,
首選左右打,7.5,C,
打斷氣勢(LRP),6.3,C,
調整節奏,7,C,
危機處理,5.4,C,
起步優勢(CPRP),4,D,
最後出局數,3.3,D,
變化球首選,3.25,D,
覺醒開始,3,D,
快速球首選,3,D,
大吃局數,2.5,D,
起步優勢(LRP),2.2,D,
自信,0,E,
滿球數,0.8,E,
預防意外,0,E,
